Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 1, TimeInMs 7851
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 1, TimeInMs 21271
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 1, TimeInMs 5757
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 1, TimeInMs 21178
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 1, TimeInMs 6935
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 1, TimeInMs 22341
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 1, TimeInMs 6845
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 1, TimeInMs 22320
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 1, TimeInMs 7338
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 1, TimeInMs 22263
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 1, TimeInMs 7289
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 1, TimeInMs 22093
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 1, TimeInMs 6696
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 1, TimeInMs 21962
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 1, TimeInMs 6188
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 1, TimeInMs 22153
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 1, TimeInMs 7191
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 1, TimeInMs 21941
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 2, TimeInMs 2934
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 2, TimeInMs 16054
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 2, TimeInMs 3376
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 2, TimeInMs 16023
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 2, TimeInMs 3380
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 2, TimeInMs 15879
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 2, TimeInMs 3320
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 2, TimeInMs 16257
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 2, TimeInMs 2983
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 2, TimeInMs 15929
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 2, TimeInMs 3334
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 2, TimeInMs 16134
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 2, TimeInMs 3174
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 2, TimeInMs 16045
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 2, TimeInMs 3271
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 2, TimeInMs 15600
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 2, TimeInMs 3105
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 2, TimeInMs 16419
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 4, TimeInMs 1765
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 4, TimeInMs 11712
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 4, TimeInMs 1741
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 4, TimeInMs 14952
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 4, TimeInMs 1830
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 4, TimeInMs 11158
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 4, TimeInMs 1627
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 4, TimeInMs 13953
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 4, TimeInMs 1822
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 4, TimeInMs 12638
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 4, TimeInMs 1774
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 4, TimeInMs 13783
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 4, TimeInMs 1763
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 4, TimeInMs 13418
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 4, TimeInMs 1679
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 4, TimeInMs 12374
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 4, TimeInMs 1718
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 4, TimeInMs 15761
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 8, TimeInMs 1541
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 8, TimeInMs 9599
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 8, TimeInMs 1638
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 8, TimeInMs 11219
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 8, TimeInMs 1266
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 8, TimeInMs 13296
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 8, TimeInMs 1310
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 8, TimeInMs 9352
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 8, TimeInMs 1419
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 8, TimeInMs 10217
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 8, TimeInMs 1531
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 8, TimeInMs 9521
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 8, TimeInMs 1560
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 8, TimeInMs 8450
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 8, TimeInMs 1387
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 8, TimeInMs 11233
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 8, TimeInMs 1366
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 8, TimeInMs 9529
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 16, TimeInMs 1471
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 16, TimeInMs 7503
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 16, TimeInMs 1444
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 16, TimeInMs 9986
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 16, TimeInMs 1652
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 16, TimeInMs 13071
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 16, TimeInMs 1608
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 16, TimeInMs 8901
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 16, TimeInMs 1402
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 16, TimeInMs 10935
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 16, TimeInMs 1429
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 16, TimeInMs 7977
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 16, TimeInMs 1467
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 16, TimeInMs 8368
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 16, TimeInMs 1542
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 16, TimeInMs 7212
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 16, TimeInMs 1262
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 16, TimeInMs 10120
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 32, TimeInMs 1554
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 32, TimeInMs 11506
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 32, TimeInMs 1365
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 32, TimeInMs 8444
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 32, TimeInMs 1328
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 32, TimeInMs 9206
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 32, TimeInMs 1305
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 32, TimeInMs 12560
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 32, TimeInMs 2214
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 32, TimeInMs 7450
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 32, TimeInMs 1523
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 32, TimeInMs 13767
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 32, TimeInMs 1339
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 32, TimeInMs 12572
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 32, TimeInMs 1544
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 32, TimeInMs 11606
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 32, TimeInMs 1317
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 32, TimeInMs 8577
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 64, TimeInMs 1413
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 64, TimeInMs 10358
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 64, TimeInMs 1500
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 64, TimeInMs 11385
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 64, TimeInMs 1365
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 64, TimeInMs 12634
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 64, TimeInMs 1709
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 64, TimeInMs 12102
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 64, TimeInMs 1759
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 64, TimeInMs 13215
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 64, TimeInMs 1771
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 64, TimeInMs 13560
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 64, TimeInMs 1330
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 64, TimeInMs 11876
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 64, TimeInMs 1392
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 64, TimeInMs 12436
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 64, TimeInMs 1419
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 64, TimeInMs 9931
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 128, TimeInMs 1428
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 128, TimeInMs 17055
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 128, TimeInMs 1985
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 128, TimeInMs 14762
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 128, TimeInMs 1528
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 128, TimeInMs 15773
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 128, TimeInMs 1617
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 128, TimeInMs 15926
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 128, TimeInMs 1456
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 128, TimeInMs 14090
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 128, TimeInMs 1851
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 128, TimeInMs 11490
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 128, TimeInMs 1373
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 128, TimeInMs 12647
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 128, TimeInMs 1504
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 128, TimeInMs 11254
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 128, TimeInMs 1395
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 128, TimeInMs 14631
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 256, TimeInMs 1448
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 256, TimeInMs 12285
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 256, TimeInMs 1382
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 256, TimeInMs 13635
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 256, TimeInMs 1469
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 256, TimeInMs 12735
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 256, TimeInMs 1517
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 256, TimeInMs 13990
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 256, TimeInMs 1707
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 256, TimeInMs 12435
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 256, TimeInMs 1426
