Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 1, TimeInMs 20862
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 1, TimeInMs 42866
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 1, TimeInMs 18167
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 1, TimeInMs 36789
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 1, TimeInMs 15939
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 1, TimeInMs 40459
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 1, TimeInMs 14881
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 1, TimeInMs 36626
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 1, TimeInMs 14444
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 1, TimeInMs 37284
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 1, TimeInMs 19027
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 1, TimeInMs 44583
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 1, TimeInMs 18734
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 1, TimeInMs 36357
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 1, TimeInMs 10405
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 1, TimeInMs 28948
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 2, TimeInMs 6723
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 2, TimeInMs 24108
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 2, TimeInMs 6340
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 2, TimeInMs 27421
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 2, TimeInMs 7537
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 2, TimeInMs 25468
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 2, TimeInMs 9020
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 2, TimeInMs 25032
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 2, TimeInMs 5823
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 2, TimeInMs 28035
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 2, TimeInMs 7087
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 2, TimeInMs 25042
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 2, TimeInMs 5923
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 2, TimeInMs 25534
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 2, TimeInMs 6628
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 2, TimeInMs 24274
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 4, TimeInMs 4837
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 4, TimeInMs 22258
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 4, TimeInMs 4843
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 4, TimeInMs 24803
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 4, TimeInMs 5054
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 4, TimeInMs 24638
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 4, TimeInMs 5359
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 4, TimeInMs 25238
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 4, TimeInMs 5276
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 4, TimeInMs 22620
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 4, TimeInMs 5413
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 4, TimeInMs 24759
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 4, TimeInMs 5688
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 4, TimeInMs 24680
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 4, TimeInMs 5357
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 4, TimeInMs 23088
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 8, TimeInMs 5961
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 8, TimeInMs 21908
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 8, TimeInMs 5382
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 8, TimeInMs 25654
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 8, TimeInMs 6174
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 8, TimeInMs 23407
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 8, TimeInMs 5186
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 8, TimeInMs 23667
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 8, TimeInMs 4998
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 8, TimeInMs 24195
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 8, TimeInMs 4566
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 8, TimeInMs 24507
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 8, TimeInMs 5798
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 8, TimeInMs 22705
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 8, TimeInMs 4686
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 8, TimeInMs 22042
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 16, TimeInMs 5841
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 16, TimeInMs 14198
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 16, TimeInMs 5570
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 16, TimeInMs 21655
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 16, TimeInMs 5039
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 16, TimeInMs 16387
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 16, TimeInMs 5527
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 16, TimeInMs 13860
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 16, TimeInMs 5819
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 16, TimeInMs 13112
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 16, TimeInMs 4861
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 16, TimeInMs 20429
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 16, TimeInMs 4703
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 16, TimeInMs 17179
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 16, TimeInMs 5120
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 16, TimeInMs 24448
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 32, TimeInMs 5403
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 32, TimeInMs 15667
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 32, TimeInMs 4899
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 32, TimeInMs 15441
