Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 1, TimeInMs 140979
Receive: NumberOfMessages 1000, MessageSize 1024, Concurrency 1, TimeInMs 86626
Send: NumberOfMessages 1000, MessageSize 4096, Concurrency 1, TimeInMs 136097
Receive: NumberOfMessages 1000, MessageSize 4096, Concurrency 1, TimeInMs 84355
Send: NumberOfMessages 1000, MessageSize 16384, Concurrency 1, TimeInMs 139523
Receive: NumberOfMessages 1000, MessageSize 16384, Concurrency 1, TimeInMs 86342
Send: NumberOfMessages 1000, MessageSize 65536, Concurrency 1, TimeInMs 136477
Receive: NumberOfMessages 1000, MessageSize 65536, Concurrency 1, TimeInMs 83486
Send: NumberOfMessages 1000, MessageSize 262144, Concurrency 1, TimeInMs 135952
Receive: NumberOfMessages 1000, MessageSize 262144, Concurrency 1, TimeInMs 86072
Send: NumberOfMessages 1000, MessageSize 1048576, Concurrency 1, TimeInMs 139093
Receive: NumberOfMessages 1000, MessageSize 1048576, Concurrency 1, TimeInMs 83882
Send: NumberOfMessages 1000, MessageSize 4194304, Concurrency 1, TimeInMs 136451
Receive: NumberOfMessages 1000, MessageSize 4194304, Concurrency 1, TimeInMs 85149
Send: NumberOfMessages 1000, MessageSize 16777216, Concurrency 1, TimeInMs 138022
Receive: NumberOfMessages 1000, MessageSize 16777216, Concurrency 1, TimeInMs 85898
Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 2, TimeInMs 68574
Receive: NumberOfMessages 1000, MessageSize 1024, Concurrency 2, TimeInMs 43085
Send: NumberOfMessages 1000, MessageSize 4096, Concurrency 2, TimeInMs 69644
Receive: NumberOfMessages 1000, MessageSize 4096, Concurrency 2, TimeInMs 42387
Send: NumberOfMessages 1000, MessageSize 16384, Concurrency 2, TimeInMs 68627
Receive: NumberOfMessages 1000, MessageSize 16384, Concurrency 2, TimeInMs 43491
Send: NumberOfMessages 1000, MessageSize 65536, Concurrency 2, TimeInMs 67388
Receive: NumberOfMessages 1000, MessageSize 65536, Concurrency 2, TimeInMs 42422
Send: NumberOfMessages 1000, MessageSize 262144, Concurrency 2, TimeInMs 68468
Receive: NumberOfMessages 1000, MessageSize 262144, Concurrency 2, TimeInMs 41796
Send: NumberOfMessages 1000, MessageSize 1048576, Concurrency 2, TimeInMs 68119
Receive: NumberOfMessages 1000, MessageSize 1048576, Concurrency 2, TimeInMs 43196
Send: NumberOfMessages 1000, MessageSize 4194304, Concurrency 2, TimeInMs 67869
Receive: NumberOfMessages 1000, MessageSize 4194304, Concurrency 2, TimeInMs 42325
Send: NumberOfMessages 1000, MessageSize 16777216, Concurrency 2, TimeInMs 67684
Receive: NumberOfMessages 1000, MessageSize 16777216, Concurrency 2, TimeInMs 42185
Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 4, TimeInMs 52427
Receive: NumberOfMessages 1000, MessageSize 1024, Concurrency 4, TimeInMs 21608
Send: NumberOfMessages 1000, MessageSize 4096, Concurrency 4, TimeInMs 50452
Receive: NumberOfMessages 1000, MessageSize 4096, Concurrency 4, TimeInMs 21942
Send: NumberOfMessages 1000, MessageSize 16384, Concurrency 4, TimeInMs 40713
Receive: NumberOfMessages 1000, MessageSize 16384, Concurrency 4, TimeInMs 22290
Send: NumberOfMessages 1000, MessageSize 65536, Concurrency 4, TimeInMs 58259
Receive: NumberOfMessages 1000, MessageSize 65536, Concurrency 4, TimeInMs 22172
Send: NumberOfMessages 1000, MessageSize 262144, Concurrency 4, TimeInMs 73751
Receive: NumberOfMessages 1000, MessageSize 262144, Concurrency 4, TimeInMs 21405
Send: NumberOfMessages 1000, MessageSize 1048576, Concurrency 4, TimeInMs 74088
Receive: NumberOfMessages 1000, MessageSize 1048576, Concurrency 4, TimeInMs 21504
Send: NumberOfMessages 1000, MessageSize 4194304, Concurrency 4, TimeInMs 59255
Receive: NumberOfMessages 1000, MessageSize 4194304, Concurrency 4, TimeInMs 21863
Send: NumberOfMessages 1000, MessageSize 16777216, Concurrency 4, TimeInMs 77274
Receive: NumberOfMessages 1000, MessageSize 16777216, Concurrency 4, TimeInMs 22028
Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 8, TimeInMs 77383
Receive: NumberOfMessages 1000, MessageSize 1024, Concurrency 8, TimeInMs 12103
Send: NumberOfMessages 1000, MessageSize 4096, Concurrency 8, TimeInMs 77986
Receive: NumberOfMessages 1000, MessageSize 4096, Concurrency 8, TimeInMs 11988
Send: NumberOfMessages 1000, MessageSize 16384, Concurrency 8, TimeInMs 77100
Receive: NumberOfMessages 1000, MessageSize 16384, Concurrency 8, TimeInMs 11867
Send: NumberOfMessages 1000, MessageSize 65536, Concurrency 8, TimeInMs 76990
Receive: NumberOfMessages 1000, MessageSize 65536, Concurrency 8, TimeInMs 11325
Send: NumberOfMessages 1000, MessageSize 262144, Concurrency 8, TimeInMs 77605
