Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 1, TimeInMs 33707
Receive: NumberOfMessages 1000, MessageSize 1024, Concurrency 1, TimeInMs 87430
Send: NumberOfMessages 1000, MessageSize 4096, Concurrency 1, TimeInMs 33582
Receive: NumberOfMessages 1000, MessageSize 4096, Concurrency 1, TimeInMs 86092
Send: NumberOfMessages 1000, MessageSize 16384, Concurrency 1, TimeInMs 33560
Receive: NumberOfMessages 1000, MessageSize 16384, Concurrency 1, TimeInMs 87308
Send: NumberOfMessages 1000, MessageSize 65536, Concurrency 1, TimeInMs 34150
Receive: NumberOfMessages 1000, MessageSize 65536, Concurrency 1, TimeInMs 86767
Send: NumberOfMessages 1000, MessageSize 262144, Concurrency 1, TimeInMs 34474
Receive: NumberOfMessages 1000, MessageSize 262144, Concurrency 1, TimeInMs 88282
Send: NumberOfMessages 1000, MessageSize 1048576, Concurrency 1, TimeInMs 33365
Receive: NumberOfMessages 1000, MessageSize 1048576, Concurrency 1, TimeInMs 86395
Send: NumberOfMessages 1000, MessageSize 4194304, Concurrency 1, TimeInMs 34589
Receive: NumberOfMessages 1000, MessageSize 4194304, Concurrency 1, TimeInMs 86842
Send: NumberOfMessages 1000, MessageSize 16777216, Concurrency 1, TimeInMs 33924
Receive: NumberOfMessages 1000, MessageSize 16777216, Concurrency 1, TimeInMs 87074
Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 2, TimeInMs 16998
Receive: NumberOfMessages 1000, MessageSize 1024, Concurrency 2, TimeInMs 44216
Send: NumberOfMessages 1000, MessageSize 4096, Concurrency 2, TimeInMs 16948
Receive: NumberOfMessages 1000, MessageSize 4096, Concurrency 2, TimeInMs 44391
Send: NumberOfMessages 1000, MessageSize 16384, Concurrency 2, TimeInMs 18928
Receive: NumberOfMessages 1000, MessageSize 16384, Concurrency 2, TimeInMs 44030
Send: NumberOfMessages 1000, MessageSize 65536, Concurrency 2, TimeInMs 17127
Receive: NumberOfMessages 1000, MessageSize 65536, Concurrency 2, TimeInMs 45074
Send: NumberOfMessages 1000, MessageSize 262144, Concurrency 2, TimeInMs 17022
Receive: NumberOfMessages 1000, MessageSize 262144, Concurrency 2, TimeInMs 43742
Send: NumberOfMessages 1000, MessageSize 1048576, Concurrency 2, TimeInMs 18619
Receive: NumberOfMessages 1000, MessageSize 1048576, Concurrency 2, TimeInMs 42457
Send: NumberOfMessages 1000, MessageSize 4194304, Concurrency 2, TimeInMs 16472
Receive: NumberOfMessages 1000, MessageSize 4194304, Concurrency 2, TimeInMs 43562
Send: NumberOfMessages 1000, MessageSize 16777216, Concurrency 2, TimeInMs 16492
Receive: NumberOfMessages 1000, MessageSize 16777216, Concurrency 2, TimeInMs 44343
Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 4, TimeInMs 8308
Receive: NumberOfMessages 1000, MessageSize 1024, Concurrency 4, TimeInMs 21482
Send: NumberOfMessages 1000, MessageSize 4096, Concurrency 4, TimeInMs 8417
Receive: NumberOfMessages 1000, MessageSize 4096, Concurrency 4, TimeInMs 21957
Send: NumberOfMessages 1000, MessageSize 16384, Concurrency 4, TimeInMs 8428
Receive: NumberOfMessages 1000, MessageSize 16384, Concurrency 4, TimeInMs 22631
Send: NumberOfMessages 1000, MessageSize 65536, Concurrency 4, TimeInMs 9098
Receive: NumberOfMessages 1000, MessageSize 65536, Concurrency 4, TimeInMs 21967
Send: NumberOfMessages 1000, MessageSize 262144, Concurrency 4, TimeInMs 8500
Receive: NumberOfMessages 1000, MessageSize 262144, Concurrency 4, TimeInMs 23799
Send: NumberOfMessages 1000, MessageSize 1048576, Concurrency 4, TimeInMs 8916
Receive: NumberOfMessages 1000, MessageSize 1048576, Concurrency 4, TimeInMs 22182
Send: NumberOfMessages 1000, MessageSize 4194304, Concurrency 4, TimeInMs 8528
Receive: NumberOfMessages 1000, MessageSize 4194304, Concurrency 4, TimeInMs 21706
Send: NumberOfMessages 1000, MessageSize 16777216, Concurrency 4, TimeInMs 9183
Receive: NumberOfMessages 1000, MessageSize 16777216, Concurrency 4, TimeInMs 21955
Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 8, TimeInMs 6646
