Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 1, TimeInMs 7427
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 1, TimeInMs 22621
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 1, TimeInMs 7525
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 1, TimeInMs 21965
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 1, TimeInMs 7788
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 1, TimeInMs 21302
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 1, TimeInMs 7351
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 1, TimeInMs 21608
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 1, TimeInMs 7318
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 1, TimeInMs 23131
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 1, TimeInMs 7191
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 1, TimeInMs 20531
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 1, TimeInMs 6909
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 1, TimeInMs 21722
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 1, TimeInMs 6715
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 1, TimeInMs 22415
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 1, TimeInMs 6590
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 1, TimeInMs 22040
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 2, TimeInMs 2781
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 2, TimeInMs 13223
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 2, TimeInMs 2452
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 2, TimeInMs 13110
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 2, TimeInMs 3390
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 2, TimeInMs 14833
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 2, TimeInMs 2984
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 2, TimeInMs 14590
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 2, TimeInMs 3105
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 2, TimeInMs 15060
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 2, TimeInMs 3434
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 2, TimeInMs 14561
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 2, TimeInMs 3414
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 2, TimeInMs 13715
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 2, TimeInMs 3102
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 2, TimeInMs 16028
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 2, TimeInMs 3380
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 2, TimeInMs 15528
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 4, TimeInMs 1674
