Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 1, TimeInMs 11299
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 1, TimeInMs 33350
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 1, TimeInMs 9795
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 1, TimeInMs 34620
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 1, TimeInMs 9161
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 1, TimeInMs 30715
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 1, TimeInMs 10125
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 1, TimeInMs 32621
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 1, TimeInMs 9645
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 1, TimeInMs 33013
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 1, TimeInMs 9714
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 1, TimeInMs 29984
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 1, TimeInMs 9623
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 1, TimeInMs 29906
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 1, TimeInMs 9180
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 1, TimeInMs 28779
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 2, TimeInMs 5217
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 2, TimeInMs 24193
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 2, TimeInMs 5364
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 2, TimeInMs 24299
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 2, TimeInMs 6454
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 2, TimeInMs 26560
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 2, TimeInMs 5687
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 2, TimeInMs 24684
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 2, TimeInMs 5482
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 2, TimeInMs 24701
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 2, TimeInMs 5406
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 2, TimeInMs 23394
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 2, TimeInMs 5114
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 2, TimeInMs 22296
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 2, TimeInMs 5283
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 2, TimeInMs 21783
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 4, TimeInMs 4025
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 4, TimeInMs 22920
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 4, TimeInMs 4856
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 4, TimeInMs 20887
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 4, TimeInMs 4087
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 4, TimeInMs 21130
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 4, TimeInMs 4551
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 4, TimeInMs 21439
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 4, TimeInMs 3991
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 4, TimeInMs 20328
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 4, TimeInMs 4139
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 4, TimeInMs 22989
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 4, TimeInMs 4064
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 4, TimeInMs 20612
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 4, TimeInMs 4039
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 4, TimeInMs 21842
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 8, TimeInMs 5067
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 8, TimeInMs 19918
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 8, TimeInMs 4181
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 8, TimeInMs 21229
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 8, TimeInMs 4102
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 8, TimeInMs 19879
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 8, TimeInMs 4045
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 8, TimeInMs 21682
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 8, TimeInMs 4241
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 8, TimeInMs 19484
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 8, TimeInMs 4104
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 8, TimeInMs 21987
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 8, TimeInMs 4207
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 8, TimeInMs 19670
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 8, TimeInMs 4169
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 8, TimeInMs 21589
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 16, TimeInMs 4326
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 16, TimeInMs 15914
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 16, TimeInMs 4294
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 16, TimeInMs 20161
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 16, TimeInMs 4039
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 16, TimeInMs 21948
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 16, TimeInMs 4154
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 16, TimeInMs 20916
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 16, TimeInMs 4074
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 16, TimeInMs 21028
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 16, TimeInMs 4082
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 16, TimeInMs 20110
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 16, TimeInMs 4123
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 16, TimeInMs 21339
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 16, TimeInMs 4087
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 16, TimeInMs 20247
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 32, TimeInMs 4939
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 32, TimeInMs 24099
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 32, TimeInMs 4280
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 32, TimeInMs 23991
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 32, TimeInMs 5229
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 32, TimeInMs 24997
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 32, TimeInMs 4803
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 32, TimeInMs 23417
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 32, TimeInMs 4208
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 32, TimeInMs 23806
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 32, TimeInMs 4305
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 32, TimeInMs 23466
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 32, TimeInMs 4104
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 32, TimeInMs 21250
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 32, TimeInMs 4356
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 32, TimeInMs 22916
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 64, TimeInMs 4349
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 64, TimeInMs 14236
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 64, TimeInMs 4106
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 64, TimeInMs 15685
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 64, TimeInMs 4207
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 64, TimeInMs 15977
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 64, TimeInMs 4346
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 64, TimeInMs 15411
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 64, TimeInMs 4026
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 64, TimeInMs 26321
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 64, TimeInMs 3933
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 64, TimeInMs 16008
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 64, TimeInMs 4356
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 64, TimeInMs 16417
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 64, TimeInMs 4241
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 64, TimeInMs 15288
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 128, TimeInMs 4270
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 128, TimeInMs 17653
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 128, TimeInMs 4366
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 128, TimeInMs 16562
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 128, TimeInMs 4162
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 128, TimeInMs 16220
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 128, TimeInMs 4337
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 128, TimeInMs 19702
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 128, TimeInMs 4338
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 128, TimeInMs 15501
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 128, TimeInMs 3981
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 128, TimeInMs 15871
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 128, TimeInMs 4143
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 128, TimeInMs 15742
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 128, TimeInMs 4082
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 128, TimeInMs 16433
