Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 1, TimeInMs 33880
Receive: NumberOfMessages 1000, MessageSize 1024, Concurrency 1, TimeInMs 85884
Send: NumberOfMessages 1000, MessageSize 4096, Concurrency 1, TimeInMs 34149
Receive: NumberOfMessages 1000, MessageSize 4096, Concurrency 1, TimeInMs 85992
Send: NumberOfMessages 1000, MessageSize 16384, Concurrency 1, TimeInMs 33810
Receive: NumberOfMessages 1000, MessageSize 16384, Concurrency 1, TimeInMs 85392
Send: NumberOfMessages 1000, MessageSize 65536, Concurrency 1, TimeInMs 35401
Receive: NumberOfMessages 1000, MessageSize 65536, Concurrency 1, TimeInMs 86194
Send: NumberOfMessages 1000, MessageSize 262144, Concurrency 1, TimeInMs 33905
Receive: NumberOfMessages 1000, MessageSize 262144, Concurrency 1, TimeInMs 84983
Send: NumberOfMessages 1000, MessageSize 1048576, Concurrency 1, TimeInMs 34100
Receive: NumberOfMessages 1000, MessageSize 1048576, Concurrency 1, TimeInMs 85669
Send: NumberOfMessages 1000, MessageSize 4194304, Concurrency 1, TimeInMs 34183
Receive: NumberOfMessages 1000, MessageSize 4194304, Concurrency 1, TimeInMs 86620
Send: NumberOfMessages 1000, MessageSize 16777216, Concurrency 1, TimeInMs 33200
Receive: NumberOfMessages 1000, MessageSize 16777216, Concurrency 1, TimeInMs 85254
Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 2, TimeInMs 16569
Receive: NumberOfMessages 1000, MessageSize 1024, Concurrency 2, TimeInMs 43289
Send: NumberOfMessages 1000, MessageSize 4096, Concurrency 2, TimeInMs 16573
Receive: NumberOfMessages 1000, MessageSize 4096, Concurrency 2, TimeInMs 43345
Send: NumberOfMessages 1000, MessageSize 16384, Concurrency 2, TimeInMs 17126
Receive: NumberOfMessages 1000, MessageSize 16384, Concurrency 2, TimeInMs 43544
Send: NumberOfMessages 1000, MessageSize 65536, Concurrency 2, TimeInMs 17371
Receive: NumberOfMessages 1000, MessageSize 65536, Concurrency 2, TimeInMs 43719
Send: NumberOfMessages 1000, MessageSize 262144, Concurrency 2, TimeInMs 16846
Receive: NumberOfMessages 1000, MessageSize 262144, Concurrency 2, TimeInMs 43560
Send: NumberOfMessages 1000, MessageSize 1048576, Concurrency 2, TimeInMs 17159
Receive: NumberOfMessages 1000, MessageSize 1048576, Concurrency 2, TimeInMs 43169
Send: NumberOfMessages 1000, MessageSize 4194304, Concurrency 2, TimeInMs 16884
Receive: NumberOfMessages 1000, MessageSize 4194304, Concurrency 2, TimeInMs 43967
Send: NumberOfMessages 1000, MessageSize 16777216, Concurrency 2, TimeInMs 17190
Receive: NumberOfMessages 1000, MessageSize 16777216, Concurrency 2, TimeInMs 43090
Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 4, TimeInMs 8654
Receive: NumberOfMessages 1000, MessageSize 1024, Concurrency 4, TimeInMs 22763
Send: NumberOfMessages 1000, MessageSize 4096, Concurrency 4, TimeInMs 8665
